Sample,ABS,Diet,Conc,Plate 
1007_5,0.0744,0.05,0.51884288,1
1007_5,0.075300001,0.05,0.532299905,1
1008_5,0.080600001,0.05,0.611546808,1
1008_5,0.067699999,0.05,0.418662814,1
1477_5,0.061299998,0.05,0.322968443,1
1477_5,0.0766,0.05,0.551737819,1
1491_5,0.064199999,0.05,0.366329963,1
1491_5,0.0583,0.05,0.278111728,1
7791_5,0.0594,0.05,0.294559198,1
7791_5,0.0579,0.05,0.272130841,1
1007_5,0.060899999,0.05,0.316987555,1
1007_5,0.066299997,0.05,0.397729651,1
1008_5,0.050299998,0.05,0.15849375,1
1008_5,0.0482,0.05,0.127094061,1
1477_5,0.046999998,0.05,0.109151342,1
1477_5,0.058200002,0.05,0.276616534,1
1491_5,0.061900001,0.05,0.33193983,1
1491_5,0.061500002,0.05,0.325958942,1
7791_5,0.051800001,0.05,0.180922162,1
7791_5,0.0568,0.05,0.255683371,1
1007_5,0.056400001,0.05,0.249702483,1
1007_5,0.056600001,0.05,0.252692927,1
1008_5,0.0656,0.05,0.387263126,1
1008_5,0.068700001,0.05,0.43361509,1
1477_5,0.056699999,0.05,0.254188121,1
1477_5,0.043499999,0.05,0.05681849,1
1491_5,0.0579,0.05,0.272130841,1
1491_5,0.075300001,0.05,0.532299905,1
7791_5,0.059599999,0.05,0.297549642,1
7791_5,0.057799999,0.05,0.270635591,1
1007_5,0.067000002,0.05,0.408196289,1
1007_5,0.0669,0.05,0.406701039,1
1008_5,0.075000003,0.05,0.527814267,1
1008_5,0.075099997,0.05,0.529309406,1
1477_5,0.0581,0.05,0.275121284,1
1477_5,0.086000003,0.05,0.692288961,1
1491_5,0.057399999,0.05,0.264654703,1
1491_5,0.066100001,0.05,0.394739263,1
7791_5,0.061000001,0.05,0.318482805,1
7791_5,0.070100002,0.05,0.454548253,1
1007_20,0.046700001,0.2,0.104665704,1
1007_20,0.074100003,0.2,0.514357242,1
1008_20,0.0436,0.2,0.05831374,1
1008_20,0.074600004,0.2,0.52183338,1
1477_20,0.068700001,0.2,0.43361509,1
1477_20,0.044,0.2,0.064294627,1
1491_20,0.066399999,0.2,0.399224901,1
1491_20,0.059599999,0.2,0.297549642,1
7791_20,0.084899999,0.2,0.675841436,1
7791_20,0.042399999,0.2,0.040371021,1
1007_20,0.074000001,0.2,0.512861992,1
1007_20,0.072999999,0.2,0.497909717,1
1008_20,0.076399997,0.2,0.548747319,1
1008_20,0.074600004,0.2,0.52183338,1
1477_20,0.070799999,0.2,0.465014778,1
1477_20,0.075400002,0.2,0.533795155,1
1491_20,0.071500003,0.2,0.475481416,1
1491_20,0.046999998,0.2,0.109151342,1
7791_20,0.041299999,0.2,0.023923551,1
7791_20,0.064599998,0.2,0.37231085,1
1007_20,0.082599998,0.2,0.641451247,1
1007_20,0.066500001,0.2,0.400720151,1
1008_20,0.063699998,0.2,0.358853825,1
1008_20,0.0656,0.2,0.387263126,1
1477_20,0.064300001,0.2,0.367825212,1
1477_20,0.066399999,0.2,0.399224901,1
1491_20,0.060600001,0.2,0.312501917,1
1491_20,0.057999998,0.2,0.273626035,1
7791_20,0.071500003,0.2,0.475481416,1
7791_20,0.0605,0.2,0.311006667,1
1007_20,0.0722,0.2,0.485947941,1
1007_20,0.089500003,0.2,0.744621812,1
1008_20,0.086499996,0.2,0.699764987,1
1008_20,0.075199999,0.2,0.530804656,1
1477_20,0.086800002,0.2,0.704250736,1
1477_20,0.081299998,0.2,0.622013334,1
