Sample ,Genotype,Diet,Blank,P abs 1 ,P abs 2 ,P abs 2 ,Avg ,Normalised P ,Conc P,Blank T,T abs 1,T abs 2 ,T abs 3,Avg,Normalised T,Conc T ,T/P,Vial_ID
77sa,1477,5,0.061299998,0.223399997,0.212200001,0.223700002,0.219766666,0.158466668,1.154552231,0.0546,0.396400005,0.419200003,0.382499993,1.597466667,1.542866667,1.706277261,1.477869269,6
77sb,1477,5,0.060699999,0.226799995,0.218799993,0.222100005,0.222566664,0.161866665,1.176634462,0.0572,0.417800009,0.413399994,0.529900014,1.814800024,1.757600024,1.946876335,1.654614409,7
77HSa ,1477,20,0.046399999,0.145199999,0.169,0.145899996,0.153366665,0.106966666,0.630887461,0.045000002,0.251700014,0.257400006,0.255299985,1.019200007,0.974200005,1.066106673,1.689852372,6
77HSB,1477,20,0.0612,0.160899997,0.157700002,0.158800006,0.159133335,0.097933335,0.676366404,0.0515,0.31310001,0.296600014,0.296700001,1.208533367,1.157033366,1.275708326,1.886120184,7
07sa,1007,5,0.055599999,0.207900003,0.196600005,0.208299994,0.204266667,0.148666669,1.032311217,0.048500001,0.370299995,0.33039999,0.322600007,1.364399989,1.315899988,1.448260601,1.402930218,6
07sb,1007,5,0.0513,0.208299994,0.212099999,0.204300001,0.208233332,0.156933331,1.063594384,0.047499999,0.351999998,0.379400015,0.417800009,1.532266696,1.484766697,1.634097579,1.536391695,7
07HSa ,1007,20,0.0638,0.170499995,0.168200001,0.174199998,0.170966665,0.107166665,0.769690168,0.056600001,0.344799995,0.352600008,0.320199996,1.3568,1.300199999,1.439847026,1.870683929,6
07HSB,1007,20,0.0583,0.182400003,0.181600004,0.182400003,0.182133337,0.123833337,0.85775632,0.0559,0.353500009,0.366899997,0.367199987,1.450133324,1.394233324,1.54317176,1.79907944,7
91sa,1491,5,0.055300001,0.194299996,0.200100005,0.199200004,0.197866668,0.142566667,0.981837513,0.055500001,0.363400012,0.411000013,0.376700014,1.534800053,1.479300052,1.636902133,1.66718231,6
91sb,1491,5,0.057500001,0.218199998,0.220799997,0.220200002,0.219733333,0.162233332,1.154289343,0.0528,0.323399991,0.331099987,0.318899989,1.297866623,1.245066623,1.374604782,1.190866736,7
91HSa ,1491,20,0.063900001,0.163900003,0.159400001,0.164199993,0.162499999,0.098599998,0.702917659,0.0546,0.305400014,0.321999997,0.315400004,1.257066687,1.202466687,1.329437179,1.891312819,6
91HSB,1491,20,0.059599999,0.148699999,0.1611,0.154599994,0.154799998,0.095199998,0.642191465,0.053599998,0.262300014,0.263500005,0.271899998,1.063600024,1.010000025,1.115259748,1.736646793,7
08sa,1008,5,0.0482,0.205500007,0.202600002,0.205699995,0.204600001,0.156400001,1.034940062,0.041700002,0.282999992,0.301499993,0.295100003,1.172799985,1.131099983,1.236149656,1.194416664,6
08sb,1008,5,0.051199999,0.185900003,0.189400002,0.192200005,0.18916667,0.137966671,0.913224825,0.0484,0.2958,0.350300014,0.330199987,1.301733335,1.253333335,1.378885429,1.509907956,6
08HSa ,1008,20,0.064900003,0.152999997,0.166800007,0.153500006,0.15776667,0.092866667,0.665588177,0.039700001,0.145899996,0.140400007,0.146400005,0.576933344,0.537233343,0.576494995,0.866143684,7
08HSB,1008,20,0.0484,0.110399999,0.103399999,0.110100001,0.107966666,0.059566667,0.27283958,0.0526,0.30340001,0.285600007,0.289299995,1.171066682,1.118466681,1.234230802,4.523650126,6
7791sa,7791,5,0.0572,0.239099994,0.220500007,0.240500003,0.233366668,0.176166669,1.261808882,0.050999999,0.332199991,0.361999989,0.364300013,1.411333323,1.360333323,1.500218187,1.188942484,7
7791sb,7791,5,0.0559,0.193200007,0.190500006,0.187600002,0.190433338,0.134533338,0.923214426,0.051399998,0.254400015,0.270599991,0.253500015,1.038000027,0.986600029,1.086919251,1.17732048,6
