Sample ,Blank,P abs 1 ,P abs 2 ,Avg ,Normalised P ,Conc P,Blank T,T abs 1,T abs 2 ,Avg,Normalised T,Conc T ,T/P,RUN.ID 
07A.3.1,0.042300001,0.093199998,0.093900003,0.09355,0.05125,0.180992469,0.052000001,0.104800001,0.135600001,0.120200001,0.0682,0.054201777,0.299469792,RUN 1 
07A.3.2,0.042599998,0.086800002,0.085600004,0.086200003,0.043600004,0.148427127,0.042199999,0.115800001,0.122699998,0.11925,0.07705,0.053120018,0.357886181,RUN 1 
07A.4.1,0.041700002,0.085299999,0.086300001,0.0858,0.044099998,0.14665485,0.0427,0.097499996,0.091700003,0.094599999,0.051899999,0.025051241,0.170817676,RUN 1 
07A.4.2,0.042300001,0.092900001,0.096299998,0.094599999,0.052299999,0.185644659,0.041700002,0.099600002,0.110399999,0.105,0.063299999,0.036893647,0.198732605,RUN 1 
07A.5.1,0.0429,0.079300001,0.081500001,0.080400001,0.037500001,0.122729292,0.044100001,0.099299997,0.092500001,0.095899999,0.051799998,0.026531541,0.216179368,RUN 1 
07A.5.2,0.046999998,0.093500003,0.093500003,0.093500003,0.046500005,0.180770949,0.0473,0.130700007,0.125400007,0.128050007,0.080750007,0.063140523,0.349284677,RUN 1 
07B.3.1,0.041700002,0.0845,0.088799998,0.086649999,0.044949997,0.150420908,0.0469,0.110100001,0.1118,0.110950001,0.06405,0.043668869,0.290311163,RUN 1 
07B.3.2,0.043099999,0.082800001,0.090300001,0.086550001,0.043450002,0.149977851,0.047400001,0.135000005,0.139899999,0.137450002,0.090050001,0.073844229,0.492367563,RUN 1 
07B.4.1,0.041900001,0.389899999,0.079800002,0.234850001,0.192949999,0.807044752,0.040600002,0.1206,0.124200001,0.122400001,0.081799999,0.056706901,0.070264878,RUN 1 
07B.4.2,0.042300001,0.149399996,0.079700001,0.114549998,0.072249997,0.274036323,0.041099999,0.122000001,0.128299996,0.125149999,0.08405,0.059838304,0.218359025,RUN 1 
07B.5.1,0.046100002,0.086199999,0.0867,0.086449999,0.040349998,0.149534778,0.0447,0.144099995,0.143399999,0.143749997,0.099049997,0.081017988,0.541800303,RUN 1 
07B.5.2,0.044300001,0.097599998,0.109899998,0.103749998,0.059449997,0.226185192,0.0462,0.148499995,0.152400002,0.150449999,0.104249999,0.088647231,0.391923231,RUN 1 
07B.6.1,0.045600001,0.097199999,0.079400003,0.088300001,0.0427,0.103658541,0.0462,0.166500002,0.25150001,0.209000006,0.162800007,0.116965551,1.128373506,RUN 2
07B.6.2,0.043299999,0.301899999,0.085199997,0.193549998,0.150249999,0.638465438,0.045000002,0.153400004,0.148699999,0.151050001,0.10605,0.058583519,0.091756759,RUN 2
07C.3.1,0.273499995,0.100000001,0.071400002,0.085700002,-0.187799994,0.090447162,0.046399999,0.182400003,0.161799997,0.1721,0.125700001,0.079790449,0.882177475,RUN 2
07C.3.2,0.0429,0.263799995,0.099200003,0.181499999,0.138599999,0.577235767,0.040800001,0.157000005,0.148399994,0.1527,0.111899998,0.060245819,0.104369518,RUN 2
07C.4.1,0.042599998,0.068000004,0.172700003,0.120350003,0.077750005,0.266514244,0.045699999,0.169699997,0.158500001,0.164099999,0.1184,0.071730807,0.269144364,RUN 2
07C.4.2,0.044,0.069799997,0.068599999,0.069199998,0.025199998,0.006605681,0.0449,0.179399997,0.161899999,0.170649998,0.125749998,0.078329637,11.85792002,RUN 2
07C.5.1,0.044100001,0.071000002,0.238199994,0.154599998,0.110499997,0.440548771,0.045699999,0.164199993,0.159400001,0.161799997,0.116099998,0.069413658,0.157561802,RUN 2
