Sample ,Blank,P abs 1 ,P abs 2 ,Avg ,Normalised P ,Conc P,Blank T,T abs 1,T abs 2 ,Avg,Normalised T,Conc T ,T/P,RUN ID 
08A.3.1,,0.080899999,0.0832,0.082049999,,0.092477002,,0.089400001,0.101400003,0.095400002,,0.097228863,1.051384242,RUN 6
08A.3.2,,0.0876,0.087800004,0.087700002,,0.111038114,,0.100699998,0.1105,0.105599999,,0.121595794,1.095081588,RUN 6
08A.3.3,,0.081799999,0.083300002,0.08255,,0.094119581,,0.113300003,0.122400001,0.117850002,,0.150860014,1.602854717,RUN 6
08A.4.1,,0.076200001,0.074699998,0.075449999,,0.070795005,,0.1043,0.106200002,0.105250001,,0.120759677,1.705765512,RUN 6
08A.4.2,,0.084700003,0.086800002,0.085750002,,0.104632071,,0.103100002,0.108800001,0.105950002,,0.12243192,1.170118479,RUN 6
08A.4.3,,0.089699998,0.093999997,0.091849998,,0.124671477,,0.162100002,0.113200001,0.137650002,,0.198160539,1.589461711,RUN 6
08A.5.1,,0.076200001,0.0757,0.07595,,0.072437584,,0.116300002,0.103500001,0.109900001,,0.131868135,1.820438077,RUN 6
08A.5.2,,0.080300003,0.081799999,0.081050001,,0.089191856,,0.1065,0.1083,0.1074,,0.125895844,1.411517246,RUN 6
08A.5.3,,0.045600001,0.045600001,0.045600001,,-0.027266752,,0.096799999,0.098399997,0.097599998,,0.102484468,-3.758587327,RUN 6
08B.3.1,0.046100002,0.077100001,0.078100003,0.077600002,0.031916668,0.058961951,0.037700001,0.136000007,0.145400003,0.140700005,0.099225005,0.075957086,1.288239025,RUN 7 
08B.3.2,0.0458,0.122900002,0.078000002,0.100450002,0.054766668,0.145407303,0.038699999,0.129299998,0.126900002,0.1281,0.086625,0.062259804,0.428175222,RUN 7 
08B.3.3,0.046799999,0.075800002,0.076899998,0.07635,0.030666666,0.054232983,0.0381,0.127700001,0.137500003,0.132600002,0.091125002,0.067151691,1.238207576,RUN 7 
08B.4.1,0.0458,0.090099998,0.088500001,0.089299999,0.043616665,0.103224987,0.037999999,0.151500002,0.142499998,0.147,0.105525,0.082805719,0.802186769,RUN 7 
08B.4.2,0.048300002,0.0744,0.071699999,0.07305,0.027366666,0.041748534,0.0449,0.109899998,0.120999999,0.115449999,0.073974999,0.048508171,1.161913171,RUN 7 
08B.5.1,0.0447,0.084200002,0.085299999,0.08475,0.039066666,0.086011584,0.049199998,0.149499997,0.154799998,0.152149998,0.110674998,0.088404207,1.027817445,RUN 7 
