Sample ,Blank,P abs 1 ,P abs 2 ,P abs 3,Avg ,Normalised P ,Conc P,Blank T,T abs 1,T abs 2 ,T abs 3,Avg,Normalised T,Conc T ,T/P
B1.08A.3,0.0447,0.094899997,0.094700001,0.094099998,0.094566666,0.094566666,0.109034147,0.038800001,0.131799996,0.130400002,0.130999997,0.131066665,0.52426666,0.492669269,4.518486028
B1.08A.1,0.045299999,0.101800002,0.097400002,0.1039,0.101033335,0.101033335,0.143020949,0.038400002,0.114100002,0.118600003,0.119099997,0.117266667,0.46906667,0.431634955,3.017984128
B1.08B.6,0.049199998,0.113399997,0.109899998,0.116700001,0.113333332,0.113333332,0.207665908,0.039900001,0.149599999,0.160300002,0.159799993,0.156566665,0.626266658,0.605450083,2.915500623
B1.08B.1,0.055199999,0.085299999,0.083400004,0.083800003,0.084166668,0.084166668,0.054374996,0.0407,0.123499997,0.122400001,0.128000006,0.124633335,0.498533338,0.464216082,8.537307804
B1.08C.6,0.048700001,0.095399998,0.090400003,0.092600003,0.092800001,0.092800001,0.099749109,0.042599998,0.189199999,0.180000007,0.184300005,0.184500004,0.738000015,0.728993018,7.308265969
B1.08C.5,0.0473,0.089000002,0.090899996,0.091200002,0.090366667,0.090366667,0.086960258,0.0418,0.131300002,0.126699999,0.136800006,0.131600002,0.52640001,0.495028101,5.692578561
B1.08D.3,0.0484,0.093500003,0.096900001,0.102499999,0.097633334,0.097633334,0.125151605,0.046799999,0.181999996,0.178000003,0.186100006,0.182033335,0.728133341,0.718083492,5.73770903
B1.08D.6,0.046500001,0.089900002,0.084899999,0.085299999,0.0867,0.0867,0.067689399,0.045299999,0.128999993,0.135299996,0.139500007,0.134599999,0.538399994,0.508296416,7.509247003
B1.91A.3,0.048799999,0.106200002,0.103799999,0.1065,0.1055,0.1055,0.166496352,0.041700002,0.146899998,0.149299994,0.145799994,0.147333329,0.589333316,0.564613098,3.391143946
B1.91A.5,0.0504,0.1184,0.105400003,0.103600003,0.109133335,0.109133335,0.185592032,0.043900002,0.169499993,0.172099993,0.170699999,0.170766662,0.683066646,0.668253505,3.600658376
B1.91B.3,0.0493,0.107000001,0.108400002,0.115599997,0.110333333,0.110333333,0.191898848,0.042399999,0.158600003,0.155900002,0.151199996,0.155233334,0.620933334,0.599553057,3.124318165
B1.91B.1,0.044100001,0.101199999,0.0973,0.102399997,0.100299999,0.100299999,0.139166764,0.038400002,0.121600002,0.115099996,0.097800002,0.1115,0.446,0.40613027,2.918299294
