Sample ,Blank,P abs 1 ,P abs 2 ,P abs 2 ,Avg ,Normalised P ,Conc P,Blank T,T abs 1,T abs 2 ,T abs 3,Avg,Normalised T,Conc T ,T/P
B4.07A.2,0.045499999,0.111199997,0.1039,0.1087,0.107933333,0.062433333,0.154047541,0.039500002,0.133599997,0.131899998,0.131400004,0.132299999,0.489699996,0.44104065,2.863016492
B4.07A.4,0.049899999,0.115199998,0.1127,0.114200003,0.114033334,0.064133335,0.178807668,0.0425,0.201700002,0.225500003,0.209900007,0.21236667,0.806966681,0.768832662,4.299774563
B4.07B.4,0.048,0.114600003,0.114500001,0.118900001,0.116000002,0.068000001,0.186790443,0.0416,0.192200005,0.193700001,0.206300005,0.197400004,0.748000015,0.707909775,3.789860784
B4.07B.1,0.0535,0.120200001,0.118500002,0.117399998,0.1187,0.0652,0.197749835,0.041099999,0.136399999,0.126100004,0.131799996,0.131433333,0.484633333,0.4358059,2.203824344
B4.07C.3,0.048799999,0.100400001,0.100100003,0.094400004,0.098300003,0.049500003,0.114945505,0.043000001,0.174700007,0.172499999,0.168400005,0.17186667,0.64446668,0.600941721,5.22805759
B4.07C.1,0.0493,0.111500002,0.111699998,0.120700002,0.114633334,0.065333334,0.18124309,0.043200001,0.157900006,0.148000002,0.150700003,0.152200003,0.565600013,0.519458651,2.866088025
B4.07D.1,0.050000001,0.1149,0.120099999,0.119199999,0.118066666,0.068066665,0.195179109,0.044599999,0.120800003,0.122599997,0.1303,0.124566667,0.453666668,0.403811917,2.068930015
B4.07D.2,0.0515,0.140799999,0.1382,0.138999999,0.139333333,0.087833333,0.281501279,0.043900002,0.109099999,0.107699998,0.105099998,0.107299998,0.385299992,0.333177175,1.183572506
B4.77A.2,0.052499998,0.120300002,0.127299994,0.120399997,0.122666664,0.070166666,0.213850669,0.044300001,0.1734,0.180399999,0.185499996,0.179766665,0.674766658,0.632246902,2.956487835
B4.77A.2,0.052900001,0.115400001,0.114500001,0.116800003,0.115566668,0.062666667,0.185031528,0.045600001,0.179499999,0.176100001,0.177599996,0.177733332,0.665333327,0.622500619,3.364294865
B4.77B.2,0.048500001,0.121200003,0.126200005,0.120499998,0.122633335,0.074133334,0.213715386,0.043200001,0.119400002,0.1193,0.127900004,0.122200002,0.445600008,0.395477645,1.850487475
B4.77B.4,0.0462,0.114100002,0.114200003,0.116599999,0.114966668,0.068766668,0.182596105,0.040600002,0.135299996,0.137700006,0.136099994,0.136366665,0.50486666,0.456710468,2.501205968
B4.77C.3,0.0462,0.107000001,0.100400001,0.109800003,0.105733335,0.059533335,0.145117671,0.042100001,0.202500001,0.192200005,0.1884,0.194366669,0.735366674,0.694857323,4.788233694
B4.77C.4,0.045899998,0.109200001,0.114100002,0.109899998,0.111066667,0.065166668,0.166765858,0.0471,0.121100001,0.128000006,0.120999999,0.123366669,0.446366675,0.396269746,2.376204283
B4.77D.2,0.066500001,0.118000001,0.113899998,0.1074,0.1131,0.046599999,0.17501923,0.046399999,0.154400006,0.155499995,0.158700004,0.156200002,0.578400007,0.532683286,3.043570038
B4.77D.2,0.056499999,0.147300005,0.147499993,0.152600005,0.149133335,0.092633336,0.321279843,0.048500001,0.143199995,0.146400005,0.144800007,0.144800002,0.530700008,0.483400838,1.50460992
B5.07A.4,0.047899999,0.098399997,0.101400003,0.095399998,0.098399999,0.050500001,0.143469343,0.038400002,0.138600007,0.130500004,0.1294,0.132833337,0.492933345,0.443030758,3.087982064
B5.07A.1,0.043699998,0.099100001,0.091700003,0.091499999,0.094100001,0.050400003,0.116914451,0.037900001,0.104099996,0.098200001,0.104400001,0.102233333,0.371033331,0.312343842,2.671558905
B5.07B.4,0.047600001,0.109700002,0.104999997,0.107100002,0.107266667,0.059666666,0.198225971,0.0372,0.116999999,0.111199997,0.114399999,0.114199998,0.419599994,0.364411329,1.838363191
B5.07B.4,0.041099999,0.056499999,0.0561,0.0572,0.056599999,0.0155,-0.114669014,0.0407,0.060800001,0.063199997,0.069799997,0.064599998,0.217699993,0.1479578,-1.290303232
B5.07C.4,0.066699997,0.118299998,0.125300005,0.117600001,0.120400002,0.053700005,0.279331652,0.0449,0.185399994,0.184900001,0.194999993,0.188433329,0.708833317,0.674493417,2.414668775
B5.07C.4,0.052200001,0.103600003,0.098099999,0.0955,0.099066667,0.046866667,0.147586391,0.0429,0.170399994,0.158199996,0.161500007,0.163366665,0.610566662,0.569143421,3.856340806
B5.07D.2,0.0449,0.083300002,0.082599998,0.080700003,0.082200001,0.037300001,0.043425299,0.0427,0.153500006,0.158500001,0.154300004,0.155433337,0.579033347,0.535337095,12.32776987
B5.07D.3,0.0471,0.097400002,0.095899999,0.092900001,0.095400001,0.048300001,0.124942675,0.040899999,0.136399999,0.145899996,0.148200005,0.1435,0.533100002,0.486092742,3.890526126
B5.77A.3,0.048700001,0.109200001,0.119800001,0.109499998,0.112833334,0.064133332,0.232603248,0.044399999,0.185000002,0.170900002,0.170000002,0.175300002,0.656800009,0.6187094,2.659934483
B5.77A.3,0.052200001,0.120300002,0.122199997,0.124600001,0.122366667,0.070166666,0.291476908,0.0451,0.1752,0.181400001,0.180999994,0.179199999,0.671699995,0.634683419,2.177474101
B5.77B.4,0.049400002,0.118299998,0.111500002,0.114799999,0.114866666,0.065466665,0.245160215,0.042599998,0.145199999,0.145699993,0.142100006,0.144333333,0.534733333,0.487843808,1.989897944
B5.77B.3,0.038600001,0.055199999,0.053199999,0.056499999,0.054966666,0.016366664,-0.124755762,0.037500001,0.062899999,0.064499997,0.062600002,0.063333333,0.215833329,0.14595658,-1.169938588
B5.77C.1,0.049800001,0.115000002,0.114799999,0.114699997,0.114833333,0.065033332,0.24495436,0.0436,0.1875,0.184400007,0.184499994,0.185466667,0.698266668,0.663165094,2.707300633
B5.77C.1,0.042399999,0.085000001,0.082500003,0.082199998,0.083233334,0.040833335,0.049806711,0.041999999,0.137799993,0.137899995,0.135399997,0.137033328,0.506133314,0.457182219,9.179128935
B5.77D.2,0.048900001,0.108499996,0.105099998,0.106399998,0.106666664,0.057766664,0.194520619,0.045699999,0.180399999,0.1743,0.182099998,0.178933332,0.670033331,0.632896617,3.25362226
B5.77D.4,0.048300002,0.107000001,0.104699999,0.1017,0.104466667,0.056166665,0.180934405,0.0462,0.189799994,0.191100001,0.194999993,0.191966663,0.721666651,0.688251815,3.803874746
B6.07A.3,0.044799998,0.095200002,0.093800001,0.0955,0.094833334,0.050033336,0.128887521,0.0403,0.131999999,0.123899996,0.1241,0.126666665,0.46636666,0.458204219,3.555070468
B6.07A.4,0.053800002,0.118000001,0.143399999,0.109099999,0.123499999,0.069699998,0.29573329,0.042199999,0.185000002,0.188299999,0.195199996,0.189499999,0.715799997,0.744125284,2.516203991
B6.07B.2,0.0491,0.097099997,0.090999998,0.126200005,0.104766667,0.055666666,0.186701519,0.0425,0.129199997,0.132100001,0.127800003,0.1297,0.4763,0.469590632,2.515194499
B6.07B.1,0.057300001,0.108900003,0.087700002,0.090700001,0.095766669,0.038466667,0.134319714,0.041000001,0.102899998,0.105300002,0.107199997,0.105133332,0.379533328,0.358668692,2.670260982
B6.07C.2,0.048599999,0.092900001,0.093999997,0.095399998,0.094099998,0.045499999,0.124619358,0.050099999,0.136000007,0.134800002,0.1391,0.136633337,0.496433347,0.492669136,3.953391688
B6.07C.1,0.049600001,0.102700002,0.100299999,0.098899998,0.100633333,0.051033332,0.162644683,0.041099999,0.122000001,0.120300002,0.119000003,0.120433336,0.440633343,0.428706568,2.635847422
B6.07D.2,0.067299999,0.105899997,0.095299996,0.092,0.097733331,0.030433332,-0.245933473,0.047699999,0.180800006,0.182899997,0.1822,0.181966667,0.68016667,0.703279425,-2.859632799
B6.07D.2,0.0528,0.103500001,0.095899999,0.096900001,0.098766667,0.045966667,0.151780311,0.0462,0.151700005,0.155399993,0.152199998,0.153099999,0.566199996,0.572641423,3.772830743
B6.77A.3,0.052099999,0.1021,0.114299998,0.1096,0.108666666,0.056566667,0.209400299,0.045400001,0.202700004,0.202900007,0.199699998,0.20176667,0.761666678,0.796701456,3.804681569
B6.77A.2,0.054099999,0.1162,0.120499998,0.116999999,0.117899999,0.0638,0.263140159,0.044300001,0.142700002,0.139500007,0.142700002,0.141633337,0.522233346,0.522243222,1.984658005
